Student,LPIPS,SSIM
112590038.png,0.16275589168071747,0.6967477513885076
112590041.png,0.18931840360164642,0.7404720836110535
112590060.png,0.2055484503507614,0.6746662334981842
112590036.png,0.21209003031253815,0.6751038263216486
112590007.png,0.21291345357894897,0.6918313644832125
109810011.png,0.22849200665950775,0.6804321354813695
112590004.png,0.23972651362419128,0.6483159626276864
112590044.png,0.2641419768333435,0.6445655508104018
112590014.png,0.26844504475593567,0.6927337178648202
110590456.png,0.2936824858188629,0.654685835979479
112590023.png,0.2980508804321289,0.6259178377234503
112590013.png,0.29828208684921265,0.6747650615100603
112590029.png,0.298412561416626,0.6700232457120624
112590022.png,0.3151770234107971,0.5811507037632059
112590012.png,0.31573477387428284,0.6692912658477622
111332012.png,0.32817018032073975,0.6384669278185454
112590035.png,0.33659034967422485,0.5335584612362473
112590033.png,0.35333794355392456,0.6651094325290067
112590026.png,0.35476112365722656,0.5585138357079558
112590020.png,0.3615573048591614,0.5739717192795506
112590009.png,0.3632264733314514,0.5615761364860175
112590057.png,0.37455230951309204,0.5314522258859563
110590041.png,0.3813546299934387,0.6316864547277848
112590021.png,0.3843494653701782,0.5266977226350504
112590003.png,0.3992208242416382,0.5242819650145583
112590030.png,0.402782142162323,0.5384131954566925
113378043.png,0.403827041387558,0.5990392167111784
112590005.png,0.41720134019851685,0.5514686572015001
111820017.jpg,0.4175480604171753,0.581957821150116
112ab0053.png,0.42430150508880615,0.6311875681498987
110820009.png,0.4387446939945221,0.4965685023720657
112590025.png,0.44087544083595276,0.48639099960513804
112590052.png,0.4411478638648987,0.45033986304633894
112590051.png,0.45052456855773926,0.46741131965969823
112590031.png,0.4542931318283081,0.43968422272074886
112590053.png,0.5079057812690735,0.4365624996293958
112590024.png,0.5258110165596008,0.40361855109851624
112590018.png,0.5294163227081299,0.38432198959100655
